batch_idx,gt_theta,DA_theta,BC_theta,Ours_theta
44,14.315938,16.579120,17.250482,13.580648
45,13.806888,16.285793,17.327971,14.400837
46,13.288734,15.970580,17.313981,13.103178
47,12.763521,15.783296,17.285655,13.014499
48,12.233321,15.367304,17.291745,12.408413
49,11.700227,15.065960,17.269108,11.846822
50,11.166343,15.199572,17.510506,10.749908
51,10.633776,14.609605,17.347306,11.266061
52,10.104627,14.656674,17.216147,10.568969
53,9.580985,15.200729,17.381152,8.126683
54,9.064917,14.862061,17.324410,9.803902
55,8.558459,15.217724,17.330008,7.953517
56,8.063609,15.366130,17.460768,7.774283
57,7.582322,15.126722,17.250351,8.805129
58,7.116496,15.757054,17.205649,8.273891
59,6.667970,16.140968,17.202891,3.661111
60,6.238513,16.292555,17.059606,5.607224
61,5.829821,16.674500,14.496703,5.840102
62,5.443507,16.970236,11.062805,6.703069
63,5.081095,17.250633,8.981390,5.080549
64,4.744015,17.408491,7.591477,2.882171
65,4.433598,17.840674,7.868120,3.066692
66,4.151069,18.142397,7.706394,3.562144
67,3.897543,17.701000,7.554562,3.942604
68,3.674020,17.995813,7.347659,1.640252
69,3.481383,18.397851,7.144364,4.236896
70,3.320392,18.484102,7.206557,7.215789
71,3.191682,18.743346,6.900072,6.647996
72,3.095761,18.828634,6.160699,5.974947
73,3.033008,18.822904,6.001298,5.030368
74,3.003670,18.851844,5.745997,4.030032
75,3.007863,19.125135,5.637452,4.836804
76,3.045571,19.630542,5.612668,7.511481
77,3.116644,19.971702,5.544957,6.650624
78,11.672368,19.964864,5.490716,19.418166
79,14.936391,19.663677,6.413947,15.885436
80,15.417678,19.394318,7.016218,15.152106
81,15.883504,19.043509,6.555215,15.198632
82,16.332030,18.850532,6.772786,15.959637
83,16.761487,18.649541,6.648937,16.664397
84,17.170179,18.429154,6.783801,17.033307
85,17.556493,18.259370,7.167540,17.276292
86,17.918905,18.149138,13.037387,17.502051
87,18.255985,18.144526,14.354585,18.064397
88,18.566402,18.208629,13.695499,18.555422
89,18.848931,18.270657,15.066055,18.791557
