method,slope,batch_size,seed,theta_rmse,y_rmse,y_crps
BC,0.0015,20,101,0.13658283527172596,0.6107222242601986,0.3668948057396659
BPC-80,0.0015,20,101,0.05732306045210798,0.5864814663755482,0.35125476738502237
BOCPD-BPC,0.0015,20,101,0.1073426752662524,0.8987519679398372,0.5554645672954363
R-BOCPD-PF-halfdiscrepancy,0.0015,20,101,0.013801773176419367,0.43069704793803065,0.23660448653385893
DA,0.0015,20,202,0.014116865205446263,0.5980524091885008,0.3581749951017314
BC,0.0015,20,202,0.13618707477021563,0.6021869490886557,0.3620972283955278
BPC-80,0.0015,20,202,0.05823870513443187,0.5835440559633847,0.34956856431632205
BOCPD-BPC,0.0015,20,202,0.11584688497940351,0.9186116343942182,0.569935736471209
R-BOCPD-PF-halfdiscrepancy,0.0015,20,202,0.014926236989256193,0.4150231486694651,0.2282469721216873
DA,0.0015,20,303,0.010752387373617046,0.6005679081226217,0.3549901719751029
BC,0.0015,20,303,0.14269805121545934,0.6055748606550282,0.3594642713152129
BPC-80,0.0015,20,303,0.06511621097638688,0.5730031790404484,0.33806262756216116
BOCPD-BPC,0.0015,20,303,0.1103571536503466,0.9013081038820332,0.5514117787624228
R-BOCPD-PF-halfdiscrepancy,0.0015,20,303,0.010646434057377916,0.40927941268070245,0.22208211125813962
DA,0.0015,20,404,0.012636459065636155,0.5969366318192976,0.354774822448862
BC,0.0015,20,404,0.1403024105170351,0.6018892064176756,0.3588753090850238
BPC-80,0.0015,20,404,0.05588072737255794,0.5766587483471838,0.34232760965824127
BOCPD-BPC,0.0015,20,404,0.11518270614192715,0.8984552508798139,0.5528059920360302
R-BOCPD-PF-halfdiscrepancy,0.0015,20,404,0.013352031058397992,0.4250890008625724,0.23103524763344876
DA,0.0015,20,505,0.011614807546156854,0.6052282925309806,0.3589024631113842
BC,0.0015,20,505,0.141072480819704,0.6099504201576628,0.3625655410618618
BPC-80,0.0015,20,505,0.057465784872621384,0.5894527908029228,0.3503022466240258
BOCPD-BPC,0.0015,20,505,0.11265811259324986,0.9266343548380095,0.5730694409074455
R-BOCPD-PF-halfdiscrepancy,0.0015,20,505,0.011281564583518262,0.4224621901193203,0.23067025755344048
DA,0.002,20,101,0.013070412963927577,0.7959274968196606,0.48221783339977264
BC,0.002,20,101,0.1376985911065771,0.8039517114902365,0.48773784935474396
BPC-80,0.002,20,101,0.06882130307323388,0.7785338625825685,0.47352175877012054
BOCPD-BPC,0.002,20,101,0.12106780407152258,1.0459817236867444,0.6532784941895254
R-BOCPD-PF-halfdiscrepancy,0.002,20,101,0.013962837974415214,0.5318918041345849,0.2950940758968445
DA,0.002,20,202,0.014629162245608724,0.7841226705189409,0.4740588927063449
BC,0.002,20,202,0.130607574596361,0.7924984282460706,0.48011359366877326
BPC-80,0.002,20,202,0.06953506328459698,0.7690673737690367,0.4650639084906414
BOCPD-BPC,0.002,20,202,0.1142182427702912,0.9814269183010891,0.6112638290586143
R-BOCPD-PF-halfdiscrepancy,0.002,20,202,0.015007280205228825,0.5075668854681646,0.27897950798465554
DA,0.002,20,303,0.009981774959830736,0.7856388030381039,0.4682360543259259
BC,0.002,20,303,0.1385857299631946,0.7934254839502531,0.4738618279325551
BPC-80,0.002,20,303,0.07031908208632172,0.7661858704583399,0.4577469512306411
BOCPD-BPC,0.002,20,303,0.12818201870945886,1.0260049782950302,0.6322382667969013
R-BOCPD-PF-halfdiscrepancy,0.002,20,303,0.010017996348602246,0.4961968374472359,0.27015350298601803
DA,0.002,20,404,0.014086834562300182,0.7915355470673792,0.4768096203434056
BC,0.002,20,404,0.13296019757825903,0.7994310095392424,0.48273892032689064
BPC-80,0.002,20,404,0.07150436812167381,0.7636807077917559,0.4599850331914836
BOCPD-BPC,0.002,20,404,0.12119495781122289,1.0091772654960895,0.6291393575997188
R-BOCPD-PF-halfdiscrepancy,0.002,20,404,0.01546966747193517,0.5122817445793473,0.28268890445965655
DA,0.002,20,505,0.013278171061814472,0.792917276250905,0.47102302210084324
BC,0.002,20,505,0.13697871219686222,0.8010321506138506,0.47630695022385694
BPC-80,0.002,20,505,0.07170850752065877,0.7705105404401648,0.460669233881194
BOCPD-BPC,0.002,20,505,0.12540716117649936,1.0154462189509952,0.6227952447430841
R-BOCPD-PF-halfdiscrepancy,0.002,20,505,0.013173714643298076,0.5190894162047621,0.2822628413513535
DA,0.0025,20,101,0.013320485499528814,0.9568596605596871,0.5765290167824976
BC,0.0025,20,101,0.13965681260285984,0.9676513702704989,0.5868253872312349
BPC-80,0.0025,20,101,0.08537655716058816,0.9356990014684612,0.5697266567369987
BOCPD-BPC,0.0025,20,101,0.11357641267232656,1.0552605411102032,0.6520005783130383
R-BOCPD-PF-halfdiscrepancy,0.0025,20,101,0.01394347175669577,0.6182111292394527,0.34346548611527794
DA,0.0025,20,202,0.017596056608271123,0.9528002687569322,0.5665991450178212
BC,0.0025,20,202,0.1380031659778986,0.9679801340760856,0.5793028309427458
BPC-80,0.0025,20,202,0.08117559246167942,0.9377381328878731,0.5692405824003548
BOCPD-BPC,0.0025,20,202,0.12379891432957184,1.157245511638707,0.7125750595125658
R-BOCPD-PF-halfdiscrepancy,0.0025,20,202,0.019015973182154953,0.6147501935668052,0.34127453772269534
DA,0.0025,20,303,0.014886511387962355,0.937847485830044,0.5623296268027405
BC,0.0025,20,303,0.14109078833780314,0.9496722848250948,0.5727165336238926
BPC-80,0.0025,20,303,0.08271321406751331,0.92725159381998,0.5616480245672423
