method,slope,batch_size,seed,theta_rmse,y_rmse,y_crps
R-BOCPD-PF-OGP,0.0015,20,303,0.01457013129455488,0.410595602742151,0.2232873419106853
PF-OGP,0.0015,20,303,0.031111621306403523,0.754855624721477,0.4252275748091743
BOCPD-PF,0.0015,20,303,0.09770536108634276,0.44506207788774826,0.2431458251670928
R-BOCPD-PF-usediscrepancy,0.0015,20,303,0.07049352830530249,0.3879536933022073,0.21280740609201138
R-BOCPD-PF-nodiscrepancy,0.0015,20,303,0.013148740835423984,1.5148202077529893,0.8511850838198228
R-BOCPD-PF-OGP,0.0015,20,404,0.01651395583202092,0.3847680575790514,0.21069053245517785
PF-OGP,0.0015,20,404,0.03375912737668724,0.7627903138609043,0.4288023327970391
BOCPD-PF,0.0015,20,404,0.11969457780809285,0.46766063129785485,0.255534130803731
R-BOCPD-PF-usediscrepancy,0.0015,20,404,0.09479081974167641,0.40830663413483076,0.22414139480542092
R-BOCPD-PF-nodiscrepancy,0.0015,20,404,0.013700981732362396,1.4841196552045717,0.8374902604778925
R-BOCPD-PF-OGP,0.0015,20,505,0.0145634315692241,0.39831994632045553,0.21771039166169723
PF-OGP,0.0015,20,505,0.03419894687964866,0.7797988142504448,0.4356778341628901
BOCPD-PF,0.0015,20,505,0.1149945360295314,0.46112704055322057,0.25203225693234427
R-BOCPD-PF-usediscrepancy,0.0015,20,505,0.08153937564284928,0.40608787859152057,0.22128648683908433
R-BOCPD-PF-nodiscrepancy,0.0015,20,505,0.012417906692697501,1.528785160729342,0.8605479887116855
R-BOCPD-PF-OGP,0.002,20,101,0.014565303579677693,0.4882264119279374,0.26578208258861113
PF-OGP,0.002,20,101,0.06520540503398276,1.0563179957184714,0.6012013561962195
BOCPD-PF,0.002,20,101,0.11920573821254536,0.5730082068839379,0.31594656277784106
R-BOCPD-PF-usediscrepancy,0.002,20,101,0.08214422025694666,0.4952788363023952,0.2730478095087999
R-BOCPD-PF-nodiscrepancy,0.002,20,101,0.01352080883410645,1.7825160435137468,1.0091150251367516
R-BOCPD-PF-OGP,0.002,20,202,0.015089784136503205,0.4728245290937238,0.2585524561014098
PF-OGP,0.002,20,202,0.06309168518970619,1.0151289514219934,0.5838409431488791
BOCPD-PF,0.002,20,202,0.11883296202820519,0.560339211878798,0.30906334465092655
R-BOCPD-PF-usediscrepancy,0.002,20,202,0.09185269568392938,0.4910181027272892,0.27144268430051577
R-BOCPD-PF-nodiscrepancy,0.002,20,202,0.016523674801701384,1.763809893040529,1.002835090137009
R-BOCPD-PF-OGP,0.002,20,303,0.01204037447988432,0.4711093988853808,0.25334269084977457
PF-OGP,0.002,20,303,0.06318088892107207,1.0303128476022307,0.5895871017072266
BOCPD-PF,0.002,20,303,0.10531098902029214,0.5485542507087265,0.29903133767022283
R-BOCPD-PF-usediscrepancy,0.002,20,303,0.0844537626551839,0.47989784210745706,0.26190344364016294
R-BOCPD-PF-nodiscrepancy,0.002,20,303,0.01232601241633955,1.7830713888916996,1.0087988337694431
R-BOCPD-PF-OGP,0.002,20,404,0.015513377805753842,0.4538975185945041,0.24714523192566307
PF-OGP,0.002,20,404,0.057852117585879506,1.0322356435891196,0.5981875154167476
BOCPD-PF,0.002,20,404,0.12362044676338566,0.5618757775984103,0.3087988709240939
R-BOCPD-PF-usediscrepancy,0.002,20,404,0.09364893476241654,0.49453541078288416,0.27152445591341395
R-BOCPD-PF-nodiscrepancy,0.002,20,404,0.01615658786403479,1.7717586769605431,1.006533028165665
R-BOCPD-PF-OGP,0.002,20,505,0.012124018865612454,0.4740800255920906,0.25534436517436954
PF-OGP,0.002,20,505,0.06400049809398786,1.0301591033453183,0.591406393207909
BOCPD-PF,0.002,20,505,0.11796483945557751,0.5629902744970071,0.3060636879397449
R-BOCPD-PF-usediscrepancy,0.002,20,505,0.0852547268821095,0.4995884700234742,0.27026557002752194
R-BOCPD-PF-nodiscrepancy,0.002,20,505,0.015135796134177867,1.7833340234540034,1.0077033297945923
R-BOCPD-PF-OGP,0.0025,20,101,0.015100622570756573,0.5514119354801302,0.2995235103873932
