method,seg_len_L,delta_mag,batch_size,seed,theta_rmse,y_rmse,y_crps
BOCPD-PF,80,5.0,20,505,0.9533714563682983,2.041646818852295,0.9836668764937857
BPC-80,80,5.0,20,505,0.6471451064938202,2.1977285544077554,
BOCPD-BPC,80,5.0,20,505,0.26504854937228295,1.9671979904174806,
R-BOCPD-PF-OGP,80,5.0,20,505,0.0476369475683628,1.0525952104715215,
PF-OGP,80,5.0,20,505,1.420394669598473,2.2864005635171782,
R-BOCPD-PF-usediscrepancy,80,5.0,20,505,0.3952865187799524,1.9998152926554271,0.949447133440665
R-BOCPD-PF-nodiscrepancy,80,5.0,20,505,1.0737471652875814,2.017005124543233,1.250219498653479
R-BOCPD-PF-halfdiscrepancy,80,5.0,20,505,0.018171326477267116,1.985470102104083,0.6978031329139914
DA,120,0.5,20,101,0.013321411765905481,0.3745548686255579,0.21878522602112396
BC,120,0.5,20,101,0.06652347633441022,0.374124720044758,0.2194564054193704
BOCPD-PF,120,0.5,20,101,0.06692851237544557,1.7024390190952534,0.19631531800292015
BPC-80,120,0.5,20,101,0.05566369848676794,1.654024082681407,
BOCPD-BPC,120,0.5,20,101,0.09584157616341936,1.6738367443499358,
R-BOCPD-PF-OGP,120,0.5,20,101,0.010242428384211391,0.3072148196365469,
PF-OGP,120,0.5,20,101,0.018786229998610654,0.3681266540406588,
R-BOCPD-PF-usediscrepancy,120,0.5,20,101,0.06320610854459824,1.6986126504671457,0.1938387968463955
R-BOCPD-PF-nodiscrepancy,120,0.5,20,101,0.01460343891205463,1.6805774130247781,0.4098090064842182
R-BOCPD-PF-halfdiscrepancy,120,0.5,20,101,0.016027526313806446,1.680743047635633,0.41074057791261054
DA,120,0.5,20,202,0.012119874622740745,0.37212710276893946,0.2120811573189238
BC,120,0.5,20,202,0.066924904734195,0.37102437278498773,0.21214604896047842
BOCPD-PF,120,0.5,20,202,0.06160284658167704,1.6671381573059207,0.18795538252673005
BPC-80,120,0.5,20,202,0.05828286687917449,1.6339843584143596,
BOCPD-BPC,120,0.5,20,202,0.10448574654568166,1.656881342763486,
