method,seg_len_L,delta_mag,batch_size,seed,theta_rmse,y_rmse,y_crps
PF-OGP,120,1.0,20,101,0.06605333000083506,0.7599432659400004,
R-BOCPD-PF-usediscrepancy,120,1.0,20,101,0.03278213345293071,1.6188723079369136,0.2316714629406276
R-BOCPD-PF-nodiscrepancy,120,1.0,20,101,0.015550347056607914,1.6068967270007701,0.7164527602825123
R-BOCPD-PF-halfdiscrepancy,120,1.0,20,101,0.015576997615307264,1.6068955556161726,0.4881036050250701
DA,120,1.0,20,202,0.02647187337279578,0.6064041768727095,0.36193614161532855
BC,120,1.0,20,202,0.13448901360595106,0.6057457386151605,0.3623649779221286
BOCPD-PF,120,1.0,20,202,0.050052282966970944,1.6055297362534093,0.2788944631900689
BPC-80,120,1.0,20,202,0.0823893196119203,1.5913430245026299,
BOCPD-BPC,120,1.0,20,202,0.08472970214552865,1.5940146809038909,
R-BOCPD-PF-OGP,120,1.0,20,202,0.010324099932068764,0.38065356161404473,
PF-OGP,120,1.0,20,202,0.07196573477170311,0.7644174797428442,
R-BOCPD-PF-usediscrepancy,120,1.0,20,202,0.02981158111241598,1.602466236726981,0.22447351155706127
R-BOCPD-PF-nodiscrepancy,120,1.0,20,202,0.01388413957380684,1.5976317240198752,0.7327191940293162
R-BOCPD-PF-halfdiscrepancy,120,1.0,20,202,0.014169646719945814,1.5975876563022289,0.7336924047654602
DA,120,1.0,20,303,0.02207976598290391,0.6212384474018345,0.3796442688807197
BC,120,1.0,20,303,0.14814677772949683,0.6224027710116428,0.3812884205709333
BOCPD-PF,120,1.0,20,303,0.04975365201394497,1.6214822220803526,0.2768522759384823
BPC-80,120,1.0,20,303,0.08267462435524235,1.6032025347585264,
BOCPD-BPC,120,1.0,20,303,0.0800411019771384,1.6017529497975889,
R-BOCPD-PF-OGP,120,1.0,20,303,0.010384896743580382,0.4131781550013602,
PF-OGP,120,1.0,20,303,0.05717507100904986,0.7776454893344441,
R-BOCPD-PF-usediscrepancy,120,1.0,20,303,0.027589839738968776,1.6139995837280205,0.23843918666436076
R-BOCPD-PF-nodiscrepancy,120,1.0,20,303,0.014713426094129914,1.6113917091280485,0.7395971602102418
R-BOCPD-PF-halfdiscrepancy,120,1.0,20,303,0.014098465809842383,1.611833488613467,0.7410506796406938
DA,120,1.0,20,404,0.01836893397306721,0.6018296674541805,0.3696137990640557
BC,120,1.0,20,404,0.14848845824413456,0.6023838209069293,0.37082455534002057
BOCPD-PF,120,1.0,20,404,0.07001164503787553,1.6458140591150399,0.27739975634478464
BPC-80,120,1.0,20,404,0.08816332825897444,1.6136100499526314,
BOCPD-BPC,120,1.0,20,404,0.08508849974389912,1.615431054778721,
R-BOCPD-PF-OGP,120,1.0,20,404,0.012315197292912274,0.3921674681342909,
PF-OGP,120,1.0,20,404,0.07765138909894102,0.7619133228574476,
R-BOCPD-PF-usediscrepancy,120,1.0,20,404,0.05871963741624307,1.6387863285325506,0.23173927357841875
R-BOCPD-PF-nodiscrepancy,120,1.0,20,404,0.018239119331593234,1.624161781809582,0.7262573775520526
R-BOCPD-PF-halfdiscrepancy,120,1.0,20,404,0.018083470597621592,1.6239962151892142,0.7231868084367045
DA,120,1.0,20,505,0.024430028460888972,0.603315928707952,0.36708353816167166
BC,120,1.0,20,505,0.13717307886025934,0.6033761229204095,0.36877630132695904
BOCPD-PF,120,1.0,20,505,0.06427263932043335,1.6204457222477358,0.2823011852610766
BPC-80,120,1.0,20,505,0.08473517248178157,1.5893863024918928,
BOCPD-BPC,120,1.0,20,505,0.08625937527753402,1.589863683866418,
R-BOCPD-PF-OGP,120,1.0,20,505,0.011717081359076011,0.40301895957229134,
PF-OGP,120,1.0,20,505,0.0680951501912556,0.7596670887492188,
R-BOCPD-PF-usediscrepancy,120,1.0,20,505,0.043931130814600865,1.6006856602994066,0.25676670896647324
R-BOCPD-PF-nodiscrepancy,120,1.0,20,505,0.015191228080198457,1.598065150403771,0.7248594482488714
R-BOCPD-PF-halfdiscrepancy,120,1.0,20,505,0.01570167895867088,1.5985659113499247,0.7228980151012323
DA,120,2.0,20,101,0.10038200261295098,1.0468960838473362,0.6732865559018176
BC,120,2.0,20,101,0.184069900151685,1.0509979394466982,0.6746697730344274
BOCPD-PF,120,2.0,20,101,0.07166786648615404,1.742969822141225,0.4556593005566342
BPC-80,120,2.0,20,101,0.14288065117951604,1.759653231372004,
BOCPD-BPC,120,2.0,20,101,0.03073808400795205,1.6894568982331648,
R-BOCPD-PF-OGP,120,2.0,20,101,0.008331593898182655,0.5777924578493393,
PF-OGP,120,2.0,20,101,0.8377851282378989,1.7115209488326697,
R-BOCPD-PF-usediscrepancy,120,2.0,20,101,0.059676123500638376,1.7344314278420065,0.35847035355762163
R-BOCPD-PF-nodiscrepancy,120,2.0,20,101,0.011949294274929847,1.7144014480161756,0.3582801366508078
R-BOCPD-PF-halfdiscrepancy,120,2.0,20,101,0.01126758780469879,1.714167800541892,0.54940853532885
DA,120,2.0,20,202,0.09948005244159666,1.050143306022105,0.6662780707297118
BC,120,2.0,20,202,0.1601948953592079,1.0545712715905646,0.6682065689693326
BOCPD-PF,120,2.0,20,202,0.05239992242058478,1.7325034702701416,0.46173008782106356
BPC-80,120,2.0,20,202,0.14475662967996492,1.7684942380241726,
BOCPD-BPC,120,2.0,20,202,0.0311110328003869,1.6912467894346819,
R-BOCPD-PF-OGP,120,2.0,20,202,0.009226151401113866,0.5602640982688301,
PF-OGP,120,2.0,20,202,0.8309557290164069,1.6669134998146033,
R-BOCPD-PF-usediscrepancy,120,2.0,20,202,0.04261873806346941,1.7297614735428235,0.3486378314093416
R-BOCPD-PF-nodiscrepancy,120,2.0,20,202,0.014841040880755028,1.7141121095731682,0.34880313771815297
R-BOCPD-PF-halfdiscrepancy,120,2.0,20,202,0.014700318614874381,1.7139961101057195,0.5374647815134815
DA,120,2.0,20,303,0.08487647736897981,1.067093810957411,0.6816104802748432
BC,120,2.0,20,303,0.17267669170622996,1.0704285515391307,0.6830796920087027
BOCPD-PF,120,2.0,20,303,0.048082311322418914,1.7318829339376725,0.44681208959982815
BPC-80,120,2.0,20,303,0.14605471025420472,1.7776858288308848,
BOCPD-BPC,120,2.0,20,303,0.03028567705612508,1.7000528055688608,
R-BOCPD-PF-OGP,120,2.0,20,303,0.007971757829564843,0.577352537902868,
PF-OGP,120,2.0,20,303,0.7015295522382801,1.7824376469937437,
R-BOCPD-PF-usediscrepancy,120,2.0,20,303,0.02599787391986282,1.725019903642217,0.352212682391682
R-BOCPD-PF-nodiscrepancy,120,2.0,20,303,0.01634204412197335,1.726854146289835,0.8346292702154589
R-BOCPD-PF-halfdiscrepancy,120,2.0,20,303,0.027222942745746236,1.7272404652944093,0.5792786598518618
DA,120,2.0,20,404,0.08897489944270671,1.0520839373702588,0.6821846586206685
BC,120,2.0,20,404,0.13209567480503867,1.0542634900497354,0.6825708675643672
BOCPD-PF,120,2.0,20,404,0.04633582186559386,1.7209570334772843,0.49139519458575626
BPC-80,120,2.0,20,404,0.14747828342937738,1.7672490969948147,
BOCPD-BPC,120,2.0,20,404,0.03428919399118494,1.6897940221040144,
R-BOCPD-PF-OGP,120,2.0,20,404,0.09593102039079256,0.6658600227609244,
PF-OGP,120,2.0,20,404,0.7089908706441508,1.7704258966309363,
R-BOCPD-PF-usediscrepancy,120,2.0,20,404,0.041509032423757586,1.7170067810757583,0.4063886759326009
R-BOCPD-PF-nodiscrepancy,120,2.0,20,404,0.03292130085863285,1.7189129830042034,0.585585022167934
R-BOCPD-PF-halfdiscrepancy,120,2.0,20,404,0.017656240206662257,1.713577444249427,0.35247326541492774
DA,120,2.0,20,505,0.09974488196258552,1.052713777060094,0.670240435263385
BC,120,2.0,20,505,0.17437069326467117,1.0552242806424266,0.6715184699582017
BOCPD-PF,120,2.0,20,505,0.06154527636046428,1.7473827657870318,0.4806948948664953
BPC-80,120,2.0,20,505,0.14289496661179787,1.7771782460420027,
BOCPD-BPC,120,2.0,20,505,0.03776183735686267,1.7055537286012068,
R-BOCPD-PF-OGP,120,2.0,20,505,0.11045705207949896,0.6806281879482687,
PF-OGP,120,2.0,20,505,0.6986943388756858,1.8169588994548982,
R-BOCPD-PF-usediscrepancy,120,2.0,20,505,0.05428070357162511,1.7425490084929784,0.3589036461814877
R-BOCPD-PF-nodiscrepancy,120,2.0,20,505,0.020726737436419233,1.7311034387714936,0.5477549967793649
R-BOCPD-PF-halfdiscrepancy,120,2.0,20,505,0.01643325366518085,1.7304270246643372,0.5494162938943429
DA,120,3.0,20,101,0.1811616769522289,1.2156460745179134,0.803726814687252
BC,120,3.0,20,101,0.2953217319703674,1.2170785892268885,0.8023198872156765
BOCPD-PF,120,3.0,20,101,0.11266532055625557,1.6590872868749391,0.5177414166478949
BPC-80,120,3.0,20,101,0.21538887349201954,1.728741158609805,
BOCPD-BPC,120,3.0,20,101,0.023271343735053414,1.5831080364144368,
R-BOCPD-PF-OGP,120,3.0,20,101,0.025965375748893637,0.6442674928351849,
PF-OGP,120,3.0,20,101,1.0926963880196257,1.8375532952624412,
R-BOCPD-PF-usediscrepancy,120,3.0,20,101,0.06626633470373458,1.6255858475347365,0.3952753716407103
R-BOCPD-PF-nodiscrepancy,120,3.0,20,101,0.011436643016287744,1.6094745898561087,0.3952993814557782
R-BOCPD-PF-halfdiscrepancy,120,3.0,20,101,0.04563104408568624,1.615663030791613,0.6009113734564994
DA,120,3.0,20,202,0.1704780205910443,1.2356075398300006,0.8019791297290636
BC,120,3.0,20,202,0.3056208418522006,1.2369435053804647,0.800442701448565
BOCPD-PF,120,3.0,20,202,0.0813842000724198,1.6613155423096624,0.5365723045849606
BPC-80,120,3.0,20,202,0.2184691020020713,1.7482655981312627,
BOCPD-BPC,120,3.0,20,202,0.02917251459282515,1.597440683323404,
R-BOCPD-PF-OGP,120,3.0,20,202,0.027931290274323357,0.6373026585956983,
PF-OGP,120,3.0,20,202,1.1018080621501496,1.8737784860510514,
R-BOCPD-PF-usediscrepancy,120,3.0,20,202,0.05132417941879015,1.6403719550752993,0.39016769671081375
R-BOCPD-PF-nodiscrepancy,120,3.0,20,202,0.011830487889550842,1.6222886764710422,0.3900443801593969
R-BOCPD-PF-halfdiscrepancy,120,3.0,20,202,0.04243849213033915,1.6289357598889402,0.6149803082204245
DA,120,3.0,20,303,0.1586407113570119,1.243352313404498,0.8225704810541609
BC,120,3.0,20,303,0.29266279806785545,1.2454796835132267,0.823224838661111
BOCPD-PF,120,3.0,20,303,0.0922540146503191,1.6622657954032127,0.5592899511697145
BPC-80,120,3.0,20,303,0.20227870172000711,1.7422972762066384,
BOCPD-BPC,120,3.0,20,303,0.028096190102008898,1.6007559817770254,
R-BOCPD-PF-OGP,120,3.0,20,303,0.025934493251603463,0.6565882035086967,
PF-OGP,120,3.0,20,303,1.0910361051223343,1.8643935813966408,
R-BOCPD-PF-usediscrepancy,120,3.0,20,303,0.01854818409787138,1.6278439197739563,0.4440715920987448
R-BOCPD-PF-nodiscrepancy,120,3.0,20,303,0.03441666100191834,1.6305275495919829,0.6548979600295901
R-BOCPD-PF-halfdiscrepancy,120,3.0,20,303,0.06201095420117723,1.642740216177898,0.8374409509978379
DA,120,3.0,20,404,0.16044623986333717,1.2229507539583289,0.8124643337467442
BC,120,3.0,20,404,0.2625686433048918,1.2237387727136197,0.8114038226397141
BOCPD-PF,120,3.0,20,404,0.08657664051578473,1.6428581598518222,0.5644385529396744
BPC-80,120,3.0,20,404,0.21764670419316998,1.7362630885580312,
BOCPD-BPC,120,3.0,20,404,0.03025589276932526,1.5872605002444724,
R-BOCPD-PF-OGP,120,3.0,20,404,0.02564588021865105,0.6373750154848107,
PF-OGP,120,3.0,20,404,1.1184040439462026,1.8452107475254877,
R-BOCPD-PF-usediscrepancy,120,3.0,20,404,0.047922589670106236,1.6204739484612294,0.46435772049797686
R-BOCPD-PF-nodiscrepancy,120,3.0,20,404,0.038230709267628976,1.6190960857560286,0.6426804134085112
R-BOCPD-PF-halfdiscrepancy,120,3.0,20,404,0.051078455078707764,1.6235101098187967,0.5956681273862967
DA,120,3.0,20,505,0.1794453888187092,1.227728449780008,0.8061192414682844
BC,120,3.0,20,505,0.2700953104875762,1.22820524936137,0.8041987908275231
BOCPD-PF,120,3.0,20,505,0.09841436608902542,1.6672791191558762,0.570786477001924
BPC-80,120,3.0,20,505,0.21135146979464167,1.7422291973362798,
BOCPD-BPC,120,3.0,20,505,0.025265854896682514,1.603419594142748,
R-BOCPD-PF-OGP,120,3.0,20,505,0.026453061428083218,0.6616633840211033,
PF-OGP,120,3.0,20,505,1.0722916257059252,1.8248911919183992,
R-BOCPD-PF-usediscrepancy,120,3.0,20,505,0.06827879528612694,1.6403369471806295,0.5375648821938993
R-BOCPD-PF-nodiscrepancy,120,3.0,20,505,0.036599505376608304,1.6340314621412977,0.6476819524143403
R-BOCPD-PF-halfdiscrepancy,120,3.0,20,505,0.04982329701519432,1.6378736509419738,0.5964210751183429
DA,120,5.0,20,101,1.6396821910159527,1.4535430229228476,1.0673307267868
BC,120,5.0,20,101,0.5188643072373506,1.4398440530766612,1.0615270111871802
BOCPD-PF,120,5.0,20,101,0.43619313178254465,1.939275015820147,0.6854410336045244
BPC-80,120,5.0,20,101,0.5350882456690282,2.025025352187779,
BOCPD-BPC,120,5.0,20,101,0.18971339529675893,1.8696585168009219,
R-BOCPD-PF-OGP,120,5.0,20,101,0.04800754029867353,0.7484967010430678,
PF-OGP,120,5.0,20,101,1.5288242005265482,2.0740942438634815,
R-BOCPD-PF-usediscrepancy,120,5.0,20,101,0.08518868140085081,1.903270384351631,0.4817689159111492
R-BOCPD-PF-nodiscrepancy,120,5.0,20,101,0.6628271895691616,1.8956632304704413,0.5403622334435169
R-BOCPD-PF-halfdiscrepancy,120,5.0,20,101,0.664908481138065,1.9024133865996995,0.6658513655228865
DA,120,5.0,20,202,1.6389497228137657,1.4799636796764706,1.0864193513989449
BC,120,5.0,20,202,0.6232901250454432,1.4548463478036548,1.0677444753439531
BOCPD-PF,120,5.0,20,202,0.31494159831452595,1.9555764398168558,0.6729708949095413
BPC-80,120,5.0,20,202,0.5680858708054043,2.0340376885040947,
BOCPD-BPC,120,5.0,20,202,0.06708036083648884,1.8784105466759724,
R-BOCPD-PF-OGP,120,5.0,20,202,0.045109084065956866,0.731436444384954,
PF-OGP,120,5.0,20,202,1.5433546766110466,2.0605491211084126,
R-BOCPD-PF-usediscrepancy,120,5.0,20,202,0.06834245456280424,1.9133228302291856,0.48415195642108505
R-BOCPD-PF-nodiscrepancy,120,5.0,20,202,0.02695793375120329,1.9023043767459498,0.4844337034266771
R-BOCPD-PF-halfdiscrepancy,120,5.0,20,202,1.0234063204711747,1.909033267456048,0.886410051869551
DA,120,5.0,20,303,1.6381577923763677,1.4751477280388707,1.0822050432148187
BC,120,5.0,20,303,0.5365311154855124,1.4595872895873112,1.071962568099084
BOCPD-PF,120,5.0,20,303,0.3730497411405819,1.9570549859428459,0.6147166591177722
BPC-80,120,5.0,20,303,0.5250991258902001,2.022036930789118,
BOCPD-BPC,120,5.0,20,303,0.07236431888891652,1.8758124475893767,
R-BOCPD-PF-OGP,120,5.0,20,303,0.044127661953191795,0.7451578333249566,
PF-OGP,120,5.0,20,303,1.5091619626420028,2.1158201363085096,
R-BOCPD-PF-usediscrepancy,120,5.0,20,303,0.029516656388479806,1.9005960428701376,0.48191827199323134
R-BOCPD-PF-nodiscrepancy,120,5.0,20,303,0.021742459308318116,1.8992994305151918,0.48144534807939604
R-BOCPD-PF-halfdiscrepancy,120,5.0,20,303,0.2814768512934702,1.9197767605435545,0.5532748805979892
DA,120,5.0,20,404,1.6371788837616912,1.4753509073153785,1.0912678549471109
BC,120,5.0,20,404,0.4996391578092812,1.464598244946936,1.0852668887895087
BOCPD-PF,120,5.0,20,404,0.40762388165096386,1.956519454611068,0.647002351487154
BPC-80,120,5.0,20,404,0.5275778971850849,2.0303056810213174,
BOCPD-BPC,120,5.0,20,404,0.12391581266475299,1.8719680205635403,
R-BOCPD-PF-OGP,120,5.0,20,404,0.0481514063913565,0.744336215538537,
PF-OGP,120,5.0,20,404,1.53838443393868,2.06643149606986,
R-BOCPD-PF-usediscrepancy,120,5.0,20,404,0.07914673160507445,1.9164692286202973,0.5587425547367416
R-BOCPD-PF-nodiscrepancy,120,5.0,20,404,1.0261719740831579,1.9016919705330195,1.1215776983527304
R-BOCPD-PF-halfdiscrepancy,120,5.0,20,404,0.2862338247016002,1.9143011129874419,0.5515832270615849
DA,120,5.0,20,505,1.6350793560686272,1.4800906077675198,1.0823975247533426
BC,120,5.0,20,505,0.5327877717389328,1.4587203711271286,1.069900106800639
BOCPD-PF,120,5.0,20,505,0.32343099410225185,1.9854598691750411,0.6777455540601973
BPC-80,120,5.0,20,505,0.5118269611753898,2.0440947802170464,
BOCPD-BPC,120,5.0,20,505,0.14287794619466693,1.8878987820252129,
R-BOCPD-PF-OGP,120,5.0,20,505,0.04629681172991074,0.7626775141325801,
PF-OGP,120,5.0,20,505,1.5424125647980231,2.1043061116366757,
R-BOCPD-PF-usediscrepancy,120,5.0,20,505,0.11678075967602072,1.9432533573991726,0.570301636114655
R-BOCPD-PF-nodiscrepancy,120,5.0,20,505,0.27167375047845027,1.9323443819257167,0.5645148216909296
R-BOCPD-PF-halfdiscrepancy,120,5.0,20,505,0.018290828388112038,1.9124758204638332,0.4962575566151839
DA,200,0.5,20,101,0.013720836296511546,0.3108036716779073,0.17988886550450936
BC,200,0.5,20,101,0.05685249731083423,0.30911010312728393,0.17932532593989983
BOCPD-PF,200,0.5,20,101,0.06563957660592014,1.69224422812453,0.16256538784787009
BPC-80,200,0.5,20,101,0.046043893000204554,1.647171634894151,
BOCPD-BPC,200,0.5,20,101,0.09930148655631675,1.6673403703249419,
R-BOCPD-PF-OGP,200,0.5,20,101,0.009026326431776178,0.26140563951869544,
PF-OGP,200,0.5,20,101,0.013293056728540574,0.2874966951468722,
R-BOCPD-PF-usediscrepancy,200,0.5,20,101,0.037565194919769236,1.6821353304113273,0.15453728903252137
R-BOCPD-PF-nodiscrepancy,200,0.5,20,101,0.014620557774985075,1.675140291448415,0.3976822195224802
R-BOCPD-PF-halfdiscrepancy,200,0.5,20,101,0.014119529055308498,1.67497181780621,0.39832930775334324
DA,200,0.5,20,202,0.011719281859726535,0.31437041858832043,0.18127114402178007
BC,200,0.5,20,202,0.06322642446561318,0.3124225468207628,0.1807029984700374
BOCPD-PF,200,0.5,20,202,0.07141099414573746,1.6800139932118896,0.16442810657979326
BPC-80,200,0.5,20,202,0.05087559957693126,1.6361705828935673,
BOCPD-BPC,200,0.5,20,202,0.0945830215756595,1.6534046118076031,
R-BOCPD-PF-OGP,200,0.5,20,202,0.007512054643929137,0.2587060494458086,
PF-OGP,200,0.5,20,202,0.011009316819302008,0.2889908287791327,
R-BOCPD-PF-usediscrepancy,200,0.5,20,202,0.05699259822885974,1.6741425610424487,0.15995569699879045
R-BOCPD-PF-nodiscrepancy,200,0.5,20,202,0.012959965165807876,1.6633072354385585,0.3968344057912872
R-BOCPD-PF-halfdiscrepancy,200,0.5,20,202,0.012636354804132284,1.6634084436845915,0.39645220656635227
DA,200,0.5,20,303,0.010431093680512359,0.32220395635335874,0.1882782022540386
BC,200,0.5,20,303,0.071194509346077,0.32108784868166995,0.1880837673178086
BOCPD-PF,200,0.5,20,303,0.07482616755359159,1.7051697686947653,0.16809770848237074
BPC-80,200,0.5,20,303,0.050401456048821104,1.6567787787853143,
BOCPD-BPC,200,0.5,20,303,0.09000515451433276,1.6717050992525542,
R-BOCPD-PF-OGP,200,0.5,20,303,0.008669216079926063,0.2710707083967196,
PF-OGP,200,0.5,20,303,0.013311291906096865,0.3000656099871731,
R-BOCPD-PF-usediscrepancy,200,0.5,20,303,0.05685265955735561,1.6980390343745893,0.16045175381031745
R-BOCPD-PF-nodiscrepancy,200,0.5,20,303,0.01226148006741495,1.6842026482711037,0.4106735321606533
R-BOCPD-PF-halfdiscrepancy,200,0.5,20,303,0.01266740223661225,1.6843136225090554,0.40961741240905014
DA,200,0.5,20,404,0.014583546476593314,0.30966756970454484,0.17833560724288988
BC,200,0.5,20,404,0.06320908993940692,0.3080540356727747,0.17780151256383994
BOCPD-PF,200,0.5,20,404,0.07427381897494925,1.714056405119627,0.16257091016740588
BPC-80,200,0.5,20,404,0.04915116826676924,1.6656443430827215,
BOCPD-BPC,200,0.5,20,404,0.08716212020264917,1.6797581911087036,
R-BOCPD-PF-OGP,200,0.5,20,404,0.010756818781835284,0.2670475150391333,
PF-OGP,200,0.5,20,404,0.01467526989631491,0.3020696544531105,
R-BOCPD-PF-usediscrepancy,200,0.5,20,404,0.07425895305164731,1.713458368148266,0.15630363560006208
R-BOCPD-PF-nodiscrepancy,200,0.5,20,404,0.014746336364415205,1.6942770407366623,0.4020696331691746
R-BOCPD-PF-halfdiscrepancy,200,0.5,20,404,0.014428836169520348,1.6945527680139305,0.40243666458181504
DA,200,0.5,20,505,0.01257036946503971,0.3132960097147868,0.17879953254491854
BC,200,0.5,20,505,0.06762771726496146,0.31099241016766965,0.17791546766574567
BOCPD-PF,200,0.5,20,505,0.08787126659180969,1.7218585969236062,0.15590462307281827
BPC-80,200,0.5,20,505,0.04592594732979666,1.6674290222999377,
BOCPD-BPC,200,0.5,20,505,0.10243529552405918,1.6903677842555902,
R-BOCPD-PF-OGP,200,0.5,20,505,0.00858396860072149,0.25617446847871567,
PF-OGP,200,0.5,20,505,0.010491111914240077,0.2924099890125259,
R-BOCPD-PF-usediscrepancy,200,0.5,20,505,0.07427202631556422,1.7122432434106907,0.14605696272101712
R-BOCPD-PF-nodiscrepancy,200,0.5,20,505,0.0157824185770466,1.6948414933073166,0.40182684657016965
R-BOCPD-PF-halfdiscrepancy,200,0.5,20,505,0.015291991224947503,1.6945224165412947,0.4024510538547869
DA,200,1.0,20,101,0.021347047315973904,0.4481367938793622,0.2689684558755312
BC,200,1.0,20,101,0.12402340619269682,0.4448686543947611,0.267874661164406
BOCPD-PF,200,1.0,20,101,0.048682834267254144,1.5972817576646345,0.21551034710445413
BPC-80,200,1.0,20,101,0.07122723955995959,1.5716655987959642,
BOCPD-BPC,200,1.0,20,101,0.07714634206812766,1.5749535316076033,
R-BOCPD-PF-OGP,200,1.0,20,101,0.010610087652770831,0.31659882250092797,
PF-OGP,200,1.0,20,101,0.04969963343602051,0.5598558767880375,
R-BOCPD-PF-usediscrepancy,200,1.0,20,101,0.03500793808277471,1.5930776451705653,0.18324484487998172
R-BOCPD-PF-nodiscrepancy,200,1.0,20,101,0.014735026889229454,1.5863780610814522,0.7015782751396141
R-BOCPD-PF-halfdiscrepancy,200,1.0,20,101,0.016587975684311296,1.5867329041265605,0.700842324360989
DA,200,1.0,20,202,0.023484252387810524,0.4507893281869399,0.27180204273034364
BC,200,1.0,20,202,0.13208125093011047,0.447943335542312,0.2703376911007441
BOCPD-PF,200,1.0,20,202,0.06826107992931602,1.5989451955982559,0.23172726246466338
BPC-80,200,1.0,20,202,0.07168656476859792,1.5649583003459833,
BOCPD-BPC,200,1.0,20,202,0.0646988344756341,1.5655858730658507,
R-BOCPD-PF-OGP,200,1.0,20,202,0.011107331279218658,0.31663268702395003,
PF-OGP,200,1.0,20,202,0.06236829208182654,0.5742472845002331,
R-BOCPD-PF-usediscrepancy,200,1.0,20,202,0.05933701383204795,1.5972011308032112,0.2000707717469447
R-BOCPD-PF-nodiscrepancy,200,1.0,20,202,0.01006042713525887,1.5839820827261095,0.7041898252156319
R-BOCPD-PF-halfdiscrepancy,200,1.0,20,202,0.012889643610609411,1.5843125679331864,0.4537399946378018
DA,200,1.0,20,303,0.022095059159784276,0.45713835343336445,0.2770730033516884
BC,200,1.0,20,303,0.1434217447810609,0.4563377449909846,0.2763778395377673
BOCPD-PF,200,1.0,20,303,0.0665815183884361,1.626177092865275,0.22845842769454863
BPC-80,200,1.0,20,303,0.06589005843425572,1.5886268676855626,
BOCPD-BPC,200,1.0,20,303,0.06413333563344248,1.5891611209282508,
R-BOCPD-PF-OGP,200,1.0,20,303,0.011252739316991741,0.35363762062091886,
PF-OGP,200,1.0,20,303,0.05080295425342847,0.5727428093144106,
R-BOCPD-PF-usediscrepancy,200,1.0,20,303,0.05762808296562747,1.6232562847243717,0.19011946040875866
R-BOCPD-PF-nodiscrepancy,200,1.0,20,303,0.016380293592825192,1.607515996850425,0.7170487391717196
R-BOCPD-PF-halfdiscrepancy,200,1.0,20,303,0.014591233975572956,1.606783167591224,0.7169294097551406
DA,200,1.0,20,404,0.0210347692628866,0.4450425413938669,0.26663271624308366
BC,200,1.0,20,404,0.1312598332832394,0.4438880116511614,0.26610946158568066
BOCPD-PF,200,1.0,20,404,0.07012672781606782,1.6345771324292981,0.21822937905932094
BPC-80,200,1.0,20,404,0.06817469325321711,1.5956082558020568,
BOCPD-BPC,200,1.0,20,404,0.07299525541156324,1.6008721162111332,
R-BOCPD-PF-OGP,200,1.0,20,404,0.011179783525145039,0.33144646675554457,
PF-OGP,200,1.0,20,404,0.05038895598420711,0.5567552867229076,
R-BOCPD-PF-usediscrepancy,200,1.0,20,404,0.061975940697505984,1.627836317462595,0.18978546072473945
R-BOCPD-PF-nodiscrepancy,200,1.0,20,404,0.016320663636623014,1.6162192325231026,0.585416671659211
R-BOCPD-PF-halfdiscrepancy,200,1.0,20,404,0.015847308582615065,1.616266768396479,0.7040010633905591
DA,200,1.0,20,505,0.021203076927811232,0.439425195256869,0.2633765397163538
BC,200,1.0,20,505,0.13827373602243564,0.43779244522253674,0.26289925151146376
BOCPD-PF,200,1.0,20,505,0.09336856568012321,1.6418798645494923,0.20673577414753738
BPC-80,200,1.0,20,505,0.07173463184133741,1.597220472800426,
BOCPD-BPC,200,1.0,20,505,0.0831662035413242,1.6073672802020342,
R-BOCPD-PF-OGP,200,1.0,20,505,0.01690688254616117,0.3335495883508063,
PF-OGP,200,1.0,20,505,0.04970653898315065,0.5430060547655288,
R-BOCPD-PF-usediscrepancy,200,1.0,20,505,0.08330904012466137,1.636368022226921,0.18218390259520792
R-BOCPD-PF-nodiscrepancy,200,1.0,20,505,0.01821081537093988,1.6157606667334896,0.7095753985067951
R-BOCPD-PF-halfdiscrepancy,200,1.0,20,505,0.018611178093731865,1.6152716225080423,0.709349015159064
DA,200,2.0,20,101,0.08208262475219126,0.7181893289089203,0.45543012194908583
BC,200,2.0,20,101,0.1430774066268204,0.7196359324913758,0.45617606185185605
BOCPD-PF,200,2.0,20,101,0.04936495462192033,1.685307132921572,0.31336397074983396
BPC-80,200,2.0,20,101,0.11214466683551412,1.6940143903096516,
BOCPD-BPC,200,2.0,20,101,0.030289856865011167,1.6505932807922363,
R-BOCPD-PF-OGP,200,2.0,20,101,0.010031497988103703,0.42719267663277094,
PF-OGP,200,2.0,20,101,0.7672031588380794,1.4114394452942767,
R-BOCPD-PF-usediscrepancy,200,2.0,20,101,0.0402655318659554,1.6789173911729471,0.28805066473303864
R-BOCPD-PF-nodiscrepancy,200,2.0,20,101,0.026700915887645033,1.6791290999435768,0.5160588146305221
R-BOCPD-PF-halfdiscrepancy,200,2.0,20,101,0.013033762756965092,1.67624259557243,0.25905092096602506
DA,200,2.0,20,202,0.08175593505777107,0.7215535201323338,0.4539616165252832
BC,200,2.0,20,202,0.1573277989700648,0.7221668660640717,0.45391772057001406
BOCPD-PF,200,2.0,20,202,0.06443259054411696,1.6996925651912453,0.3527556702119251
BPC-80,200,2.0,20,202,0.11986887145327803,1.6994649141262739,
BOCPD-BPC,200,2.0,20,202,0.03255997480190638,1.6493703860502977,
R-BOCPD-PF-OGP,200,2.0,20,202,0.01025833885682103,0.41871481850311965,
PF-OGP,200,2.0,20,202,0.18648051742869334,1.3115421083831205,
