batch_idx,group,rank,Q,R,W,M1,M2,theta_true,theta_est,pred_mu,pred_sigma,actual_y
24,candidate,5,100,91,13,3,2,12.222776145321447,12.351771507149607,1031442.7163128514,326693.6400019177,993481.0
24,baseline,1,64,90,11,3,2,12.222776145321447,12.351771507149607,1151826.125,0.0,1020632.0
24,baseline,2,57,91,11,3,2,12.222776145321447,12.351771507149607,1148794.875,0.0,1030601.0
24,baseline,3,59,93,11,3,2,12.222776145321447,12.351771507149607,1148783.625,0.0,1027859.0
24,baseline,4,56,94,10,3,2,12.222776145321447,12.351771507149607,1146001.0,0.0,1030584.0
24,baseline,5,52,91,10,3,2,12.222776145321447,12.351771507149607,1143635.0,0.0,1033794.0
25,candidate,1,100,90,13,3,2,11.5752098382087,12.380139888748147,1024154.9845128362,323097.11500501586,1039363.0
25,candidate,2,100,92,12,3,2,11.5752098382087,12.380139888748147,1023311.3906222692,323063.54287504026,1038986.0
25,candidate,3,100,93,12,3,2,11.5752098382087,12.380139888748147,1023247.278202029,323154.1900343284,1038386.0
25,candidate,4,100,94,12,3,2,11.5752098382087,12.380139888748147,1022857.7218855328,323148.42864612205,1038160.0
25,candidate,5,100,91,12,3,2,11.5752098382087,12.380139888748147,1022914.0843967992,322864.4556338345,1037575.0
25,baseline,1,64,90,11,3,2,11.5752098382087,12.380139888748147,1151826.125,0.0,1070972.0
25,baseline,2,57,91,11,3,2,11.5752098382087,12.380139888748147,1148794.875,0.0,1081035.0
25,baseline,3,59,93,11,3,2,11.5752098382087,12.380139888748147,1148783.625,0.0,1078615.0
25,baseline,4,56,94,10,3,2,11.5752098382087,12.380139888748147,1146001.0,0.0,1081383.0
25,baseline,5,52,91,10,3,2,11.5752098382087,12.380139888748147,1143635.0,0.0,1083586.0
26,candidate,1,100,94,12,3,2,10.905200600516952,12.041010837575142,1024360.9994280201,327803.2170630572,1091738.0
26,candidate,2,100,93,12,3,2,10.905200600516952,12.041010837575142,1024312.6180029584,327631.6255944996,1089441.0
26,candidate,3,100,95,12,3,2,10.905200600516952,12.041010837575142,1024174.3944089223,327890.45490383316,1088917.0
26,candidate,4,100,96,12,3,2,10.905200600516952,12.041010837575142,1023809.2499880326,327903.50931081566,1089264.0
26,candidate,5,100,97,12,3,2,10.905200600516952,12.041010837575142,1023272.2104350157,327829.70089497545,1093086.0
26,baseline,1,64,90,11,3,2,10.905200600516952,12.041010837575142,1151826.125,0.0,1125004.0
26,baseline,2,57,91,11,3,2,10.905200600516952,12.041010837575142,1148794.875,0.0,1138095.0
26,baseline,3,59,93,11,3,2,10.905200600516952,12.041010837575142,1148783.625,0.0,1136214.0
26,baseline,4,56,94,10,3,2,10.905200600516952,12.041010837575142,1146001.0,0.0,1139194.0
26,baseline,5,52,91,10,3,2,10.905200600516952,12.041010837575142,1143635.0,0.0,1134918.0
27,candidate,1,100,96,12,3,2,10.762619698993264,11.807405438006978,1035746.8693809918,328326.8888717544,1103449.0
27,candidate,2,100,97,12,3,2,10.762619698993264,11.807405438006978,1035119.786000385,328247.3173777563,1105701.0
27,candidate,3,100,98,12,3,2,10.762619698993264,11.807405438006978,1034265.5647095386,328077.33734252205,1105682.0
27,candidate,4,100,97,11,3,2,10.762619698993264,11.807405438006978,1033825.6263226629,328371.44772742194,1106396.0
27,candidate,5,100,98,11,3,2,10.762619698993264,11.807405438006978,1033409.1257694341,328410.20725919947,1106365.0
27,baseline,1,64,90,11,3,2,10.762619698993264,11.807405438006978,1151826.125,0.0,1137090.0
27,baseline,2,57,91,11,3,2,10.762619698993264,11.807405438006978,1148794.875,0.0,1151337.0
27,baseline,3,59,93,11,3,2,10.762619698993264,11.807405438006978,1148783.625,0.0,1149782.0
27,baseline,4,56,94,10,3,2,10.762619698993264,11.807405438006978,1146001.0,0.0,1152911.0
27,baseline,5,52,91,10,3,2,10.762619698993264,11.807405438006978,1143635.0,0.0,1148032.0
28,candidate,1,100,100,11,3,2,11.133819339466129,11.805598847258775,1044890.5118644881,329832.2243585993,1076682.0
28,candidate,2,100,99,11,3,2,11.133819339466129,11.805598847258775,1044814.2354800105,329716.9886001826,1075220.0
28,candidate,3,100,99,12,3,2,11.133819339466129,11.805598847258775,1043929.122512268,329056.15606972424,1074929.0
28,candidate,4,100,100,12,3,2,11.133819339466129,11.805598847258775,1042893.2794977408,328809.4377300883,1075408.0
28,candidate,5,100,100,10,3,2,11.133819339466129,11.805598847258775,1041738.1445779853,329331.81238047726,1075935.0
28,baseline,1,64,90,11,3,2,11.133819339466129,11.805598847258775,1151826.125,0.0,1106718.0
28,baseline,2,57,91,11,3,2,11.133819339466129,11.805598847258775,1148794.875,0.0,1118070.0
28,baseline,3,59,93,11,3,2,11.133819339466129,11.805598847258775,1148783.625,0.0,1115715.0
28,baseline,4,56,94,10,3,2,11.133819339466129,11.805598847258775,1146001.0,0.0,1118606.0
28,baseline,5,52,91,10,3,2,11.133819339466129,11.805598847258775,1143635.0,0.0,1115063.0
29,candidate,1,98,100,11,3,2,11.67615609877604,11.866823254134324,1096348.8131999779,338819.15783282265,1043392.0
29,candidate,2,99,100,11,3,2,11.67615609877604,11.866823254134324,1094595.1734787151,338420.08541202603,1042944.0
29,candidate,3,100,100,10,3,2,11.67615609877604,11.866823254134324,1092621.9359469642,338412.1228039018,1038323.0
29,candidate,4,100,100,11,3,2,11.67615609877604,11.866823254134324,1092700.9237643639,338027.7389102636,1038323.0
29,candidate,5,99,99,11,3,2,11.67615609877604,11.866823254134324,1090903.4114999499,337553.4842518377,1039714.0
29,baseline,1,64,90,11,3,2,11.67615609877604,11.866823254134324,1151826.125,0.0,1065630.0
29,baseline,2,57,91,11,3,2,11.67615609877604,11.866823254134324,1148794.875,0.0,1075650.0
29,baseline,3,59,93,11,3,2,11.67615609877604,11.866823254134324,1148783.625,0.0,1073183.0
29,baseline,4,56,94,10,3,2,11.67615609877604,11.866823254134324,1146001.0,0.0,1075882.0
29,baseline,5,52,91,10,3,2,11.67615609877604,11.866823254134324,1143635.0,0.0,1078234.0
30,candidate,1,98,100,11,3,2,10.692305453169011,11.78309783245656,1068959.645864273,332350.4961563956,1114569.0
30,candidate,2,98,100,10,3,2,10.692305453169011,11.78309783245656,1068159.2254186755,332232.5892759773,1111451.0
30,candidate,3,99,100,11,3,2,10.692305453169011,11.78309783245656,1067331.9638984753,332019.0962900848,1114440.0
30,candidate,4,99,100,10,3,2,10.692305453169011,11.78309783245656,1066847.6573570217,332004.96125263727,1114702.0
30,candidate,5,100,100,10,3,2,10.692305453169011,11.78309783245656,1065781.3447796763,331852.41050119646,1110311.0
30,baseline,1,64,90,11,3,2,10.692305453169011,11.78309783245656,1151826.125,0.0,1139840.0
30,baseline,2,57,91,11,3,2,10.692305453169011,11.78309783245656,1148794.875,0.0,1154603.0
30,baseline,3,59,93,11,3,2,10.692305453169011,11.78309783245656,1148783.625,0.0,1153186.0
30,baseline,4,56,94,10,3,2,10.692305453169011,11.78309783245656,1146001.0,0.0,1156405.0
30,baseline,5,52,91,10,3,2,10.692305453169011,11.78309783245656,1143635.0,0.0,1151081.0
31,candidate,1,98,100,10,3,2,11.332659540102629,11.808662069111433,1085475.4523866442,335143.09963623126,1066091.0
