batch_idx,theta_true,theta_est,theta_est_std,did_restart,pred_selected_mean,pred_selected_best,pred_base_mean,pred_base_best,y_selected_mean,y_selected_best,y_base,y_base_best,reality_gap_mean,reality_gap_best,cum_gap_mean,cum_gap_best,theta_abs_error
12,1.1399753802889325,4.082761943756669,0.7610717658163992,False,1651771.0773471906,1660642.7685952908,1147808.125,1151826.125,1651362.0,1670247.0,1083239.0,1145642.0,-409.077347190585,9604.231404709164,6561811.0,6108308.0,2.9427865634677364
13,2.824966668853963,4.044739344767228,0.7290339248789824,False,1651651.6954249968,1660529.3346447884,1147808.125,1151826.125,1649777.0,1658335.0,1084099.6,1146398.0,-1874.695424996782,-2194.3346447884105,7127488.4,6620245.0,1.2197726759132648
14,2.003271242197548,4.10970583112624,0.7035266201347219,False,1655798.9766408906,1660311.9649656415,1147808.125,1151826.125,1655565.4,1670629.0,1083626.4,1145971.0,-233.5766408906784,10317.035034358501,7699427.4,7144903.0,2.1064345889286917
15,2.4141861162372384,4.069860661573301,0.6783231903558902,False,1655793.6637976984,1660306.7797040767,1147808.125,1151826.125,1653344.4,1658081.0,1083856.6,1146176.0,-2449.2637976985425,-2225.7797040767036,8268915.2,7656808.0,1.6556745453360628
16,2.5645928137141523,4.128815278208906,0.6570560226947012,False,1655554.6161391702,1660005.5035445413,1147808.125,1151826.125,1655886.0,1670951.0,1083943.0,1146254.0,331.38386082975194,10945.496455458691,8840858.2,8181505.0,1.5642224644947538
17,2.746959874904676,4.0910413792939,0.6378536528549203,False,1655587.2272200878,1660002.6955911007,1147808.125,1151826.125,1653552.4,1658289.0,1084053.6,1146356.0,-2034.827220087871,-1713.6955911007244,9410357.0,8693438.0,1.3440815043892238
18,3.3293044290993064,4.144705986697968,0.6189769047433754,False,1655412.8803419245,1659787.8152995305,1147808.125,1151826.125,1656362.0,1671426.0,1084397.0,1146667.0,949.1196580755059,11638.184700469486,9982322.0,9218197.0,0.8154015575986615
19,3.834010695554142,4.094983273038764,1.036812580961665,False,1655514.6976330336,1659862.0316011512,1147808.125,1151826.125,1654231.2,1658967.0,1084692.6,1146937.0,-1283.497633033665,-895.0316011512186,10551860.6,9730227.0,0.2609725774846221
20,11.397172269644773,4.068505440847089,1.4070201188189264,False,1655385.1071735485,1659637.544797046,1147808.125,1151826.125,1066620.2,1067322.0,1093781.8,1098106.0,-588764.9071735486,-592315.5447970461,10524699.0,9699443.0,7.328666828797685
21,12.593170776439749,12.972579665770938,1.5819720240882833,True,1611878.8201823863,1624650.3546114336,1147808.125,1151826.125,980138.0,981056.0,1004204.0,1009513.0,-631740.8201823863,-643594.3546114336,10500633.0,9670986.0,0.37940888933118977
22,10.96784426121071,12.12511965967826,1.0141897553635055,False,993358.010802205,1000774.0287714797,1147808.125,1151826.125,1056197.2,1086163.0,1129876.4,1134171.0,62839.189197795,85388.97122852027,10426953.8,9622978.0,1.1572753984675508
23,11.781208056074416,12.223636431734526,0.8630844374744561,False,1037513.1303518772,1039275.8892025473,1147808.125,1151826.125,1018502.2,1025038.0,1063525.6,1068163.0,-19010.930351877236,-14237.88920254726,10381930.4,9579853.0,0.4424283756601106
24,12.222776145321447,12.351771507149607,0.8627755517702134,False,1031946.1304263441,1032621.6300653956,1147808.125,1151826.125,993491.0,994127.0,1028694.0,1033794.0,-38455.13042634411,-38494.63006539561,10346727.4,9540186.0,0.12899536182816007
25,11.5752098382087,12.380139888748147,1.1427500275678841,False,1023297.0919238932,1024154.9845128362,1147808.125,1151826.125,1038494.0,1039363.0,1079118.2,1083586.0,15196.908076106803,15208.015487163793,10306103.200000001,9495963.0,0.804930050539447
26,10.905200600516952,12.041010837575142,0.9521332843033394,False,1023985.8944525898,1024360.9994280201,1147808.125,1151826.125,1090489.2,1093086.0,1134685.0,1139194.0,66503.30554741016,68725.00057197991,10261907.4,9449855.0,1.1358102370581893
27,10.762619698993264,11.807405438006978,0.8518203264651434,False,1034473.3944366025,1035746.8693809918,1147808.125,1151826.125,1105518.6,1106396.0,1147830.4,1152911.0,71045.20556339761,70649.13061900821,10219595.600000001,9403340.0,1.0447857390137134
28,11.133819339466129,11.805598847258775,0.6910195751235712,False,1043653.0587864986,1044890.5118644881,1147808.125,1151826.125,1075634.8,1076682.0,1114834.4,1118606.0,31981.74121350143,31791.48813551187,10180396.000000002,9361416.0,0.6717795077926461
