method,seg_len_L,delta_mag,batch_size,seed,theta_rmse,y_rmse,y_crps
R-BOCPD-PF-usediscrepancy,80,1.0,20,303,0.039431920185271925,0.49293854329958536,0.2997862886143649
R-BOCPD-PF-nodiscrepancy,80,1.0,20,303,0.016973129934622605,1.3185231491410552,0.7580403992740463
R-BOCPD-PF-halfdiscrepancy-hybrid-rolled,80,1.0,20,303,0.02311516545213271,1.3223194037105988,0.7608665745967477
BOCPD-PF,80,2.0,20,101,0.09577741546929901,1.170546655648853,0.7073514591253222
R-BOCPD-PF-usediscrepancy,80,2.0,20,101,0.040573909171820764,0.7538095612249698,0.4757853591740553
R-BOCPD-PF-nodiscrepancy,80,2.0,20,101,0.012552453635754465,0.7537515478792987,0.47602097078982425
R-BOCPD-PF-halfdiscrepancy-hybrid-rolled,80,2.0,20,101,0.01341756955392514,0.7536841382631216,0.47583656786661366
BOCPD-PF,80,2.0,20,202,0.08533040864528928,1.1550952070792144,0.7011911247847136
R-BOCPD-PF-usediscrepancy,80,2.0,20,202,0.03632660518922205,0.7410097318639178,0.4709565180952387
R-BOCPD-PF-nodiscrepancy,80,2.0,20,202,0.032611808811181885,1.148546504447075,0.6798540432615762
R-BOCPD-PF-halfdiscrepancy-hybrid-rolled,80,2.0,20,202,0.017909015524530905,1.0844988309474928,0.6476315672479914
BOCPD-PF,80,2.0,20,303,0.10292262021602533,1.121170444586663,0.6859792458342449
R-BOCPD-PF-usediscrepancy,80,2.0,20,303,0.04650454037184946,0.7484527504711749,0.4773864199002826
R-BOCPD-PF-nodiscrepancy,80,2.0,20,303,0.012027607986078888,0.7483915268920466,0.47753119708510633
R-BOCPD-PF-halfdiscrepancy-hybrid-rolled,80,2.0,20,303,0.010659997475833316,1.0736263513751576,0.6502051025831176
BOCPD-PF,80,3.0,20,101,0.18803147308379478,1.283690542140375,0.7929866719599284
R-BOCPD-PF-usediscrepancy,80,3.0,20,101,0.05522213962354331,1.0183969282992333,0.6429809239447972
R-BOCPD-PF-nodiscrepancy,80,3.0,20,101,0.06043791636415177,1.176532413640132,0.7219652485622347
R-BOCPD-PF-halfdiscrepancy-hybrid-rolled,80,3.0,20,101,0.017595458853896365,0.8611423343592163,0.5575471173284587
BOCPD-PF,80,3.0,20,202,0.16321612514176784,1.197914362207924,0.7433075356449539
R-BOCPD-PF-usediscrepancy,80,3.0,20,202,0.034632201862610665,0.8391871786536327,0.5421511233589399
R-BOCPD-PF-nodiscrepancy,80,3.0,20,202,0.04893451055009556,1.202593146984753,0.7509852895580262
R-BOCPD-PF-halfdiscrepancy-hybrid-rolled,80,3.0,20,202,0.050183803052293655,1.2009699182939486,0.7139994794824301
BOCPD-PF,80,3.0,20,303,0.16748101991941772,1.222721246141772,0.7706003850248896
R-BOCPD-PF-usediscrepancy,80,3.0,20,303,0.03989914952505096,0.8583990877733998,0.5643136770243407
R-BOCPD-PF-nodiscrepancy,80,3.0,20,303,0.015263268615336506,0.8581120359458351,0.5646612485820163
R-BOCPD-PF-halfdiscrepancy-hybrid-rolled,80,3.0,20,303,0.014499258871407334,0.858391946140337,0.5644582218922714
BOCPD-PF,120,0.5,20,101,0.06527008496298824,0.33455779076670544,0.1936946473101541
R-BOCPD-PF-usediscrepancy,120,0.5,20,101,0.0597169634442299,0.33342597251726713,0.1931386402205759
R-BOCPD-PF-nodiscrepancy,120,0.5,20,101,0.014512280303494624,0.7381659263547258,0.4106071831394708
R-BOCPD-PF-halfdiscrepancy-hybrid-rolled,120,0.5,20,101,0.0245215922425264,0.7349247236359532,0.4102302089825124
BOCPD-PF,120,0.5,20,202,0.059346264134313265,0.33254922451424834,0.18786085121456986
R-BOCPD-PF-usediscrepancy,120,0.5,20,202,0.05002581232039253,0.30054960289191934,0.1722220881943937
R-BOCPD-PF-nodiscrepancy,120,0.5,20,202,0.013212503813282088,0.7475408189696329,0.4107566966160007
R-BOCPD-PF-halfdiscrepancy-hybrid-rolled,120,0.5,20,202,0.020496316887563322,0.7476382244328489,0.41268461245602944
BOCPD-PF,120,0.5,20,303,0.06949740381427331,0.33574294517179365,0.19377007122942375
R-BOCPD-PF-usediscrepancy,120,0.5,20,303,0.023481218567941727,0.30053021967169835,0.1757192054460182
R-BOCPD-PF-nodiscrepancy,120,0.5,20,303,0.01565453301286134,0.7557609366593757,0.4221262126244499
R-BOCPD-PF-halfdiscrepancy-hybrid-rolled,120,0.5,20,303,0.01772101878012203,0.74570900295223,0.4177577552999323
BOCPD-PF,120,1.0,20,101,0.058224609745973856,0.4846173161872069,0.28178610246134983
R-BOCPD-PF-usediscrepancy,120,1.0,20,101,0.03173616325209148,0.38957973303579463,0.23174202455805668
R-BOCPD-PF-nodiscrepancy,120,1.0,20,101,0.015750193446359077,1.2522323173450416,0.708178451384412
R-BOCPD-PF-halfdiscrepancy-hybrid-rolled,120,1.0,20,101,0.016460677780597406,0.8445435912085506,0.48668783418865486
BOCPD-PF,120,1.0,20,202,0.05780600521916461,0.4808787839743967,0.27892098397168147
R-BOCPD-PF-usediscrepancy,120,1.0,20,202,0.038123857146598675,0.4181636102386155,0.2480184316799697
R-BOCPD-PF-nodiscrepancy,120,1.0,20,202,0.014068087309249527,1.2958971793518668,0.7345308427117176
R-BOCPD-PF-halfdiscrepancy-hybrid-rolled,120,1.0,20,202,0.018290805486741668,1.295438908653292,0.7344869466379093
